No,Test_ID,Test_Label,Section Types,Sections,L,t,h,b,A,Pt,BC,Failure Mode,FM,Py,Fy,Pt/Py,"P(crl_s,crd_s)",KL_r,λc,Pne,λ(le-d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2_14,BC87D-3000-1S-600-1,O-2C,Open,3000,0.95,87,39.3,320.66,49.87,Fixed,L+F,LF,176.36,549.99,0.28,49.44,87.57,1.63,58.14,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2_15,BC87D-3000-1S-600-2,O-2C,Open,3000,0.95,87,39.3,320.66,50.06,Fixed,L+F,LF,176.36,549.99,0.28,49.44,87.57,1.63,58.14,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2_16,BC87D-3000-2S-600-1,O-2C,Open,3000,0.95,87,39.3,320.66,56.63,Fixed,L+F,LF,176.36,549.99,0.32,49.44,87.57,1.63,58.14,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2_17,BC87D-3000-2S-600-2,O-2C,Open,3000,0.95,87,39.3,320.66,54.34,Fixed,L+F,LF,176.36,549.99,0.31,49.44,87.57,1.63,58.14,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2_18,BC87D-3000-2S-600-3,O-2C,Open,3000,0.95,87,39.3,320.66,51.58,Fixed,L+F,LF,176.36,549.99,0.29,49.44,87.57,1.63,58.14,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,3_1,FFC-1-1400-L/10,C-2U,Closed,1400.11,1.5,70.04,50.12,495.07,120.59,Fixed,L,L,186.89,377.50,0.65,70.35,35.90,0.51,167.96,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,3_2,FFC-1-1400-L/8,C-2U,Closed,1400.5,1.5,70.01,50.1,495.07,118.9,Fixed,L,L,186.89,377.50,0.64,70.35,35.91,0.51,167.41,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,3_3,FFC-1-1400-L/6,C-2U,Closed,1400.12,1.5,70.1,49.98,495.07,111.99,Fixed,L,L,186.89,377.50,0.60,70.35,35.90,0.53,166.28,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,3_4,FFC-1-1400-L/4,C-2U,Closed,1400.15,1.5,70.15,50.1,495.07,107.06,Fixed,L,L,186.89,377.50,0.57,70.35,35.90,0.57,162.94,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,3_5,FFC-1-1400-L/2,C-2U,Closed,1399.69,1.5,70.16,50.11,495.07,86.31,Fixed,L,L,186.89,377.50,0.46,70.35,35.89,0.77,146.23,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,3_6,FFC-1-1000-L/10,C-2U,Closed,999.78,1.5,70.05,50.12,495.07,125.34,Fixed,L,L,186.89,377.50,0.67,70.35,25.64,0.36,176.98,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,3_7,FFC-1-1000-L/8,C-2U,Closed,1000.1,1.5,70.15,49.99,495.07,120.94,Fixed,L,L,186.89,377.50,0.65,70.35,25.64,0.37,176.69,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,3_8,FFC-1-1000-L/6,C-2U,Closed,999.8,1.5,70.12,50,495.07,112.84,Fixed,L,L,186.89,377.50,0.60,70.35,25.64,0.38,176.06,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,3_9,FFC-1-1000-L/4,C-2U,Closed,1000,1.5,70.01,50.05,495.07,97.07,Fixed,L,L,186.89,377.50,0.52,70.35,25.64,0.41,174.28,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,3_10,FFC-1-1000-L/2,C-2U,Closed,1000.12,1.5,70,50.04,495.07,95.72,Fixed,L,L,186.89,377.50,0.51,70.35,25.64,0.55,164.93,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
